iter	Passed	Remaining
818	1802	398
819	1803	395
820	1805	393
821	1806	391
822	1808	388
823	1812	387
824	1813	384
825	1814	382
826	1816	379
827	1817	377
828	1820	375
829	1822	373
830	1827	371
831	1830	369
832	1831	367
833	1836	365
834	1847	365
835	1850	363
836	1853	360
837	1854	358
838	1864	357
839	1865	355
840	1867	353
841	1869	350
842	1870	348
843	1880	347
844	1882	345
845	1887	343
846	1893	342
847	1897	340
848	1899	337
849	1901	335
850	1906	333
851	1914	332
852	1918	330
853	1925	329
854	1928	327
855	1931	324
856	1934	322
857	1939	320
858	1941	318
859	1943	316
860	1945	314
861	1947	311
862	1949	309
863	1955	307
864	1957	305
865	1961	303
866	1962	301
867	1964	298
868	1969	296
869	1971	294
870	1973	292
871	1975	289
872	1977	287
873	1980	285
874	1984	283
875	1986	281
876	1988	278
877	1990	276
878	1993	274
879	1995	272
880	1999	270
881	2001	267
882	2003	265
883	2005	263
884	2007	260
885	2009	258
886	2011	256
887	2014	254
888	2016	251
889	2018	249
890	2020	247
891	2022	244
892	2024	242
893	2025	240
894	2028	238
895	2031	235
896	2032	233
897	2034	231
898	2036	228
899	2038	226
900	2039	224
901	2041	221
902	2045	219
903	2048	217
904	2050	215
905	2052	212
906	2054	210
907	2056	208
908	2060	206
909	2062	203
910	2063	201
911	2065	199
912	2066	196
913	2068	194
914	2070	192
915	2077	190
916	2079	188
917	2080	185
918	2082	183
919	2084	181
920	2086	178
921	2087	176
922	2089	174
923	2091	172
924	2093	169
925	2095	167
926	2098	165
927	2102	163
928	2105	160
929	2106	158
930	2108	156
931	2109	153
932	2111	151
933	2113	149
934	2114	147
935	2117	144
936	2120	142
937	2122	140
938	2124	137
939	2125	135
940	2127	133
941	2129	131
942	2130	128
943	2134	126
944	2135	124
945	2137	121
946	2138	119
947	2140	117
948	2142	115
949	2143	112
950	2145	110
951	2147	108
952	2149	106
953	2150	103
954	2152	101
955	2155	99
956	2156	96
957	2158	94
958	2162	92
959	2164	90
960	2166	87
961	2167	85
962	2169	83
963	2171	81
964	2172	78
965	2174	76
966	2178	74
967	2179	72
968	2180	69
969	2182	67
970	2184	65
971	2186	62
972	2187	60
973	2188	58
974	2192	56
975	2193	53
976	2195	51
977	2196	49
978	2198	47
979	2200	44
980	2201	42
981	2203	40
982	2206	38
983	2207	35
984	2209	33
985	2210	31
986	2212	29
987	2214	26
988	2215	24
989	2217	22
990	2219	20
991	2222	17
992	2224	15
993	2227	13
994	2228	11
995	2230	8
996	2231	6
997	2233	4
998	2236	2
999	2238	0
